datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2024-12-02,1733072400,25.7,25.7,25.7,25.7,25.7,25.7,23.4,87.1,0.6,93.5,4.17,['rain'],0.0,0.0,25.2,14.8,229.4,1010.0,100.0,23.4,0.0,0.0,0.0,10.0,05:28:36,1733092116,17:55:54,1733136954,0.03,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,,fcst
2024-12-03,1733158800,25.8,24.4,25.3,25.8,24.4,25.3,22.9,86.6,30.0,93.5,95.83,['rain'],0.0,0.0,46.4,23.4,234.1,1008.6,99.9,16.4,29.4,2.5,2.0,10.0,05:28:55,1733178535,17:56:22,1733223382,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-04,1733245200,27.3,24.9,26.1,29.9,24.9,26.9,22.8,82.3,5.0,87.1,58.33,['rain'],0.0,0.0,37.4,20.9,231.3,1007.9,100.0,22.1,48.7,4.2,2.0,10.0,05:29:15,1733264955,17:56:51,1733309811,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-05,1733331600,28.7,25.4,26.9,31.0,25.4,28.2,22.0,74.6,0.8,93.5,29.17,['rain'],0.0,0.0,31.3,17.6,253.5,1007.2,100.0,24.1,56.3,4.9,2.0,10.0,05:29:36,1733351376,17:57:19,1733396239,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,,fcst
2024-12-06,1733418000,29.7,26.1,27.6,32.4,26.1,29.4,22.2,72.7,2.0,77.4,16.67,['rain'],0.0,0.0,7.6,6.1,81.6,1006.6,100.0,22.8,106.2,9.2,4.0,10.0,05:29:57,1733437797,17:57:49,1733482669,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-07,1733504400,30.3,26.2,27.9,34.0,26.2,30.4,22.8,74.2,7.0,71.0,50.0,['rain'],0.0,0.0,14.0,14.4,69.0,1006.2,99.8,22.4,147.5,12.9,6.0,10.0,05:30:20,1733524220,17:58:18,1733569098,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-08,1733590800,29.0,26.1,27.3,32.6,26.1,29.2,23.1,78.0,20.0,64.5,33.33,['rain'],0.0,0.0,11.5,11.5,60.2,1006.9,91.2,15.8,159.3,13.6,5.0,10.0,05:30:42,1733610642,17:58:47,1733655527,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-09,1733677200,26.8,24.8,25.7,29.3,24.8,25.8,23.3,86.4,33.4,64.5,33.33,['rain'],0.0,0.0,18.7,9.7,269.7,1007.1,99.4,12.7,35.9,3.0,1.0,10.0,05:31:06,1733697066,17:59:17,1733741957,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-10,1733763600,29.7,24.5,26.1,33.5,24.5,27.1,23.1,84.3,26.9,64.5,33.33,['rain'],0.0,0.0,16.9,11.2,284.9,1007.3,100.0,15.6,138.6,12.0,6.0,10.0,05:31:30,1733783490,17:59:47,1733828387,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-11,1733850000,27.3,24.3,25.8,29.6,24.3,26.7,22.6,83.1,9.8,80.6,25.0,['rain'],0.0,0.0,39.6,18.0,236.5,1006.5,100.0,21.1,96.8,8.4,4.0,10.0,05:31:55,1733869915,18:00:17,1733914817,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-12,1733936400,27.4,25.0,25.8,30.2,25.0,26.1,22.6,82.8,5.5,64.5,25.0,['rain'],0.0,0.0,44.6,26.6,238.4,1005.5,100.0,23.8,64.6,5.9,2.0,10.0,05:32:20,1733956340,18:00:48,1734001248,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-13,1734022800,26.7,23.9,25.2,26.7,23.9,25.2,22.6,85.8,24.9,64.5,29.17,['rain'],0.0,0.0,41.0,22.0,248.5,1005.1,100.0,19.0,97.8,8.4,4.0,10.0,05:32:46,1734042766,18:01:18,1734087678,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-14,1734109200,28.7,24.7,25.9,31.4,24.7,26.4,22.3,80.7,2.1,64.5,25.0,['rain'],0.0,0.0,38.5,19.4,266.3,1004.9,100.0,24.0,117.9,10.2,5.0,10.0,05:33:13,1734129193,18:01:49,1734174109,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-15,1734195600,25.3,24.2,24.6,25.3,24.2,24.6,22.9,90.1,18.4,64.5,33.33,['rain'],0.0,0.0,25.6,15.1,260.9,1005.9,100.0,20.7,22.9,2.0,1.0,10.0,05:33:40,1734215620,18:02:19,1734260539,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-16,1734282000,25.9,23.8,24.4,25.9,23.8,24.4,23.0,91.7,45.1,87.1,33.33,['rain'],0.0,0.0,33.1,15.1,244.8,1006.6,100.0,13.0,20.5,1.5,1.0,10.0,05:34:07,1734302047,18:02:49,1734346969,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-03,1733158800,25.8,24.4,25.3,25.8,24.4,25.3,22.9,86.6,30.0,93.5,95.83,['rain'],0.0,0.0,46.4,23.4,234.1,1008.6,99.9,16.4,29.4,2.5,2.0,10.0,05:28:55,1733178535,17:56:22,1733223382,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-04,1733245200,27.3,24.9,26.1,29.9,24.9,26.9,22.8,82.3,5.0,87.1,58.33,['rain'],0.0,0.0,37.4,20.9,231.3,1007.9,100.0,22.1,48.7,4.2,2.0,10.0,05:29:15,1733264955,17:56:51,1733309811,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-05,1733331600,28.7,25.4,26.9,31.0,25.4,28.2,22.0,74.6,0.8,93.5,29.17,['rain'],0.0,0.0,31.3,17.6,253.5,1007.2,100.0,24.1,56.3,4.9,2.0,10.0,05:29:36,1733351376,17:57:19,1733396239,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,,fcst
2024-12-06,1733418000,29.7,26.1,27.6,32.4,26.1,29.4,22.2,72.7,2.0,77.4,16.67,['rain'],0.0,0.0,7.6,6.1,81.6,1006.6,100.0,22.8,106.2,9.2,4.0,10.0,05:29:57,1733437797,17:57:49,1733482669,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-07,1733504400,30.3,26.2,27.9,34.0,26.2,30.4,22.8,74.2,7.0,71.0,50.0,['rain'],0.0,0.0,14.0,14.4,69.0,1006.2,99.8,22.4,147.5,12.9,6.0,10.0,05:30:20,1733524220,17:58:18,1733569098,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-08,1733590800,29.0,26.1,27.3,32.6,26.1,29.2,23.1,78.0,20.0,64.5,33.33,['rain'],0.0,0.0,11.5,11.5,60.2,1006.9,91.2,15.8,159.3,13.6,5.0,10.0,05:30:42,1733610642,17:58:47,1733655527,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-09,1733677200,26.8,24.8,25.7,29.3,24.8,25.8,23.3,86.4,33.4,64.5,33.33,['rain'],0.0,0.0,18.7,9.7,269.7,1007.1,99.4,12.7,35.9,3.0,1.0,10.0,05:31:06,1733697066,17:59:17,1733741957,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-10,1733763600,29.7,24.5,26.1,33.5,24.5,27.1,23.1,84.3,26.9,64.5,33.33,['rain'],0.0,0.0,16.9,11.2,284.9,1007.3,100.0,15.6,138.6,12.0,6.0,10.0,05:31:30,1733783490,17:59:47,1733828387,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-11,1733850000,27.3,24.3,25.8,29.6,24.3,26.7,22.6,83.1,9.8,80.6,25.0,['rain'],0.0,0.0,39.6,18.0,236.5,1006.5,100.0,21.1,96.8,8.4,4.0,10.0,05:31:55,1733869915,18:00:17,1733914817,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-12,1733936400,27.4,25.0,25.8,30.2,25.0,26.1,22.6,82.8,5.5,64.5,25.0,['rain'],0.0,0.0,44.6,26.6,238.4,1005.5,100.0,23.8,64.6,5.9,2.0,10.0,05:32:20,1733956340,18:00:48,1734001248,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-13,1734022800,26.7,23.9,25.2,26.7,23.9,25.2,22.6,85.8,24.9,64.5,29.17,['rain'],0.0,0.0,41.0,22.0,248.5,1005.1,100.0,19.0,97.8,8.4,4.0,10.0,05:32:46,1734042766,18:01:18,1734087678,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-14,1734109200,28.7,24.7,25.9,31.4,24.7,26.4,22.3,80.7,2.1,64.5,25.0,['rain'],0.0,0.0,38.5,19.4,266.3,1004.9,100.0,24.0,117.9,10.2,5.0,10.0,05:33:13,1734129193,18:01:49,1734174109,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-15,1734195600,25.3,24.2,24.6,25.3,24.2,24.6,22.9,90.1,18.4,64.5,33.33,['rain'],0.0,0.0,25.6,15.1,260.9,1005.9,100.0,20.7,22.9,2.0,1.0,10.0,05:33:40,1734215620,18:02:19,1734260539,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-16,1734282000,25.9,23.8,24.4,25.9,23.8,24.4,23.0,91.7,45.1,87.1,33.33,['rain'],0.0,0.0,33.1,15.1,244.8,1006.6,100.0,13.0,20.5,1.5,1.0,10.0,05:34:07,1734302047,18:02:49,1734346969,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-17,1734368400,26.1,23.8,24.9,26.1,23.8,24.9,22.8,87.9,11.2,67.7,33.33,['rain'],0.0,0.0,32.0,15.1,228.9,1005.9,100.0,17.3,38.8,3.5,1.0,10.0,05:34:35,1734388475,18:03:20,1734433400,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-03,1733158800,25.8,24.4,25.3,25.8,24.4,25.3,22.9,86.6,29.2,93.5,91.67,['rain'],0.0,0.0,46.4,23.4,233.5,1008.6,99.9,16.2,30.7,2.5,2.0,10.0,05:28:55,1733178535,17:56:22,1733223382,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-04,1733245200,27.3,24.9,26.1,29.9,24.9,26.9,22.8,82.3,5.0,87.1,58.33,['rain'],0.0,0.0,37.4,20.9,231.3,1007.9,100.0,22.1,48.7,4.2,2.0,10.0,05:29:15,1733264955,17:56:51,1733309811,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-05,1733331600,28.7,25.4,26.9,31.0,25.4,28.2,22.0,74.6,0.8,93.5,29.17,['rain'],0.0,0.0,31.3,17.6,253.5,1007.2,100.0,24.1,56.3,4.9,2.0,10.0,05:29:36,1733351376,17:57:19,1733396239,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,,fcst
2024-12-06,1733418000,29.7,26.1,27.6,32.4,26.1,29.4,22.2,72.7,2.0,77.4,16.67,['rain'],0.0,0.0,7.6,6.1,81.6,1006.6,100.0,22.8,106.2,9.2,4.0,10.0,05:29:57,1733437797,17:57:49,1733482669,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-07,1733504400,30.3,26.2,27.9,34.0,26.2,30.4,22.8,74.2,7.0,71.0,50.0,['rain'],0.0,0.0,14.0,14.4,69.0,1006.2,99.8,22.4,147.5,12.9,6.0,10.0,05:30:20,1733524220,17:58:18,1733569098,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-08,1733590800,29.0,26.1,27.3,32.6,26.1,29.2,23.1,78.0,20.0,64.5,33.33,['rain'],0.0,0.0,11.5,11.5,60.2,1006.9,91.2,15.8,159.3,13.6,5.0,10.0,05:30:42,1733610642,17:58:47,1733655527,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-09,1733677200,26.8,24.8,25.7,29.3,24.8,25.8,23.3,86.4,33.4,64.5,33.33,['rain'],0.0,0.0,18.7,9.7,269.7,1007.1,99.4,12.7,35.9,3.0,1.0,10.0,05:31:06,1733697066,17:59:17,1733741957,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-10,1733763600,29.7,24.5,26.1,33.5,24.5,27.1,23.1,84.3,26.9,64.5,33.33,['rain'],0.0,0.0,16.9,11.2,284.9,1007.3,100.0,15.6,138.6,12.0,6.0,10.0,05:31:30,1733783490,17:59:47,1733828387,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-11,1733850000,27.3,24.3,25.8,29.6,24.3,26.7,22.6,83.1,9.8,80.6,25.0,['rain'],0.0,0.0,39.6,18.0,236.5,1006.5,100.0,21.1,96.8,8.4,4.0,10.0,05:31:55,1733869915,18:00:17,1733914817,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-12,1733936400,27.4,25.0,25.8,30.2,25.0,26.1,22.6,82.8,5.5,64.5,25.0,['rain'],0.0,0.0,44.6,26.6,238.4,1005.5,100.0,23.8,64.6,5.9,2.0,10.0,05:32:20,1733956340,18:00:48,1734001248,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-13,1734022800,26.7,23.9,25.2,26.7,23.9,25.2,22.6,85.8,24.9,64.5,29.17,['rain'],0.0,0.0,41.0,22.0,248.5,1005.1,100.0,19.0,97.8,8.4,4.0,10.0,05:32:46,1734042766,18:01:18,1734087678,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-14,1734109200,28.7,24.7,25.9,31.4,24.7,26.4,22.3,80.7,2.1,64.5,25.0,['rain'],0.0,0.0,38.5,19.4,266.3,1004.9,100.0,24.0,117.9,10.2,5.0,10.0,05:33:13,1734129193,18:01:49,1734174109,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-15,1734195600,25.3,24.2,24.6,25.3,24.2,24.6,22.9,90.1,18.4,64.5,33.33,['rain'],0.0,0.0,25.6,15.1,260.9,1005.9,100.0,20.7,22.9,2.0,1.0,10.0,05:33:40,1734215620,18:02:19,1734260539,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-16,1734282000,25.9,23.8,24.4,25.9,23.8,24.4,23.0,91.7,45.1,87.1,33.33,['rain'],0.0,0.0,33.1,15.1,244.8,1006.6,100.0,13.0,20.5,1.5,1.0,10.0,05:34:07,1734302047,18:02:49,1734346969,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-17,1734368400,26.1,23.8,24.9,26.1,23.8,24.9,22.8,87.9,11.2,67.7,33.33,['rain'],0.0,0.0,32.0,15.1,228.9,1005.9,100.0,17.3,38.8,3.5,1.0,10.0,05:34:35,1734388475,18:03:20,1734433400,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-03,1733158800,27.3,25.0,26.2,29.7,25.0,26.8,22.4,79.9,9.1,87.1,54.17,['rain'],0.0,0.0,47.2,26.6,236.0,1008.5,100.0,21.3,43.1,3.4,2.0,10.0,05:28:55,1733178535,17:56:22,1733223382,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-04,1733245200,27.8,24.7,26.1,30.6,24.7,27.0,22.6,81.3,10.3,87.1,62.5,['rain'],0.0,0.0,38.5,19.4,238.2,1007.9,99.9,20.6,39.6,3.3,2.0,10.0,05:29:15,1733264955,17:56:51,1733309811,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-05,1733331600,29.2,24.9,27.0,32.1,24.9,28.6,22.5,77.2,4.6,93.5,37.5,['rain'],0.0,0.0,15.8,11.5,286.8,1007.1,100.0,21.5,123.4,10.6,7.0,10.0,05:29:36,1733351376,17:57:19,1733396239,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,,fcst
2024-12-06,1733418000,30.8,25.5,27.5,34.0,25.5,29.3,22.5,74.7,12.4,77.4,66.67,['rain'],0.0,0.0,15.8,14.8,46.9,1006.6,95.9,17.6,146.9,12.8,7.0,10.0,05:29:57,1733437797,17:57:49,1733482669,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-07,1733504400,29.4,24.6,26.7,33.0,24.6,28.2,22.8,79.9,11.0,71.0,50.0,['rain'],0.0,0.0,14.8,11.5,69.3,1006.5,97.0,18.8,159.4,13.7,6.0,10.0,05:30:20,1733524220,17:58:18,1733569098,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-08,1733590800,29.1,24.8,26.8,32.6,24.8,28.5,23.3,81.3,19.0,64.5,33.33,['rain'],0.0,0.0,11.5,9.4,282.7,1007.0,96.8,15.1,125.1,11.4,5.0,10.0,05:30:42,1733610642,17:58:47,1733655527,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-09,1733677200,30.2,26.2,27.5,33.8,26.2,29.6,23.0,76.6,14.2,64.5,33.33,['rain'],0.0,0.0,15.1,17.6,303.1,1006.8,100.0,17.4,146.0,12.6,7.0,10.0,05:31:06,1733697066,17:59:17,1733741957,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-10,1733763600,28.0,25.0,26.1,30.9,25.0,26.7,22.9,83.0,20.3,64.5,33.33,['rain'],0.0,0.0,14.0,10.1,287.3,1006.6,99.9,15.3,78.6,6.8,3.0,10.0,05:31:30,1733783490,17:59:47,1733828387,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-11,1733850000,26.7,24.2,25.3,26.7,24.2,25.3,22.6,85.1,12.5,80.6,29.17,['rain'],0.0,0.0,37.4,19.4,238.9,1006.1,100.0,19.5,42.5,3.8,1.0,10.0,05:31:55,1733869915,18:00:17,1733914817,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-12,1733936400,27.8,25.2,26.1,30.6,25.2,26.9,22.6,81.0,3.8,64.5,29.17,['rain'],0.0,0.0,43.6,24.8,237.3,1005.8,100.0,22.0,71.5,6.0,3.0,10.0,05:32:20,1733956340,18:00:48,1734001248,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-13,1734022800,26.5,24.0,25.1,26.5,24.0,25.1,22.8,87.6,38.4,64.5,29.17,['rain'],0.0,0.0,41.0,20.9,238.6,1006.1,100.0,15.8,63.5,5.6,2.0,10.0,05:32:46,1734042766,18:01:18,1734087678,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-14,1734109200,27.1,24.3,25.2,29.6,24.3,25.3,22.5,85.2,4.5,64.5,25.0,['rain'],0.0,0.0,45.0,25.2,257.9,1006.1,98.6,20.2,98.6,8.4,6.0,10.0,05:33:13,1734129193,18:01:49,1734174109,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-15,1734195600,26.4,23.9,24.9,26.4,23.9,24.9,22.9,88.7,16.7,64.5,33.33,['rain'],0.0,0.0,35.3,19.1,260.0,1006.5,98.8,20.9,64.3,5.7,4.0,10.0,05:33:40,1734215620,18:02:19,1734260539,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-16,1734282000,27.0,24.3,25.4,29.6,24.3,25.6,22.9,85.8,7.4,87.1,33.33,['rain'],0.0,0.0,41.8,20.5,259.9,1006.8,98.3,20.3,107.1,9.2,5.0,10.0,05:34:07,1734302047,18:02:49,1734346969,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-17,1734368400,28.9,24.6,26.4,32.3,24.6,27.5,23.0,81.7,8.7,67.7,33.33,['rain'],0.0,0.0,34.2,20.5,257.7,1006.8,100.0,20.2,136.0,11.7,5.0,10.0,05:34:35,1734388475,18:03:20,1734433400,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-03,1733158800,27.3,25.0,26.2,29.7,25.0,26.9,22.4,79.7,9.1,87.1,54.17,['rain'],0.0,0.0,47.2,26.6,235.7,1008.5,100.0,21.2,45.1,3.4,2.0,10.0,05:28:55,1733178535,17:56:22,1733223382,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-04,1733245200,27.8,24.7,26.1,30.6,24.7,27.0,22.6,81.3,10.3,87.1,62.5,['rain'],0.0,0.0,38.5,19.4,238.2,1007.9,99.9,20.6,39.6,3.3,2.0,10.0,05:29:15,1733264955,17:56:51,1733309811,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-05,1733331600,29.2,24.9,27.0,32.1,24.9,28.6,22.5,77.2,4.6,93.5,37.5,['rain'],0.0,0.0,15.8,11.5,286.8,1007.1,100.0,21.5,123.4,10.6,7.0,10.0,05:29:36,1733351376,17:57:19,1733396239,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,,fcst
2024-12-06,1733418000,30.8,25.5,27.5,34.0,25.5,29.3,22.5,74.7,12.4,77.4,66.67,['rain'],0.0,0.0,15.8,14.8,46.9,1006.6,95.9,17.6,146.9,12.8,7.0,10.0,05:29:57,1733437797,17:57:49,1733482669,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-07,1733504400,29.4,24.6,26.7,33.0,24.6,28.2,22.8,79.9,11.0,71.0,50.0,['rain'],0.0,0.0,14.8,11.5,69.3,1006.5,97.0,18.8,159.4,13.7,6.0,10.0,05:30:20,1733524220,17:58:18,1733569098,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-08,1733590800,29.1,24.8,26.8,32.6,24.8,28.5,23.3,81.3,19.0,64.5,33.33,['rain'],0.0,0.0,11.5,9.4,282.7,1007.0,96.8,15.1,125.1,11.4,5.0,10.0,05:30:42,1733610642,17:58:47,1733655527,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-09,1733677200,30.2,26.2,27.5,33.8,26.2,29.6,23.0,76.6,14.2,64.5,33.33,['rain'],0.0,0.0,15.1,17.6,303.1,1006.8,100.0,17.4,146.0,12.6,7.0,10.0,05:31:06,1733697066,17:59:17,1733741957,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-10,1733763600,28.0,25.0,26.1,30.9,25.0,26.7,22.9,83.0,20.3,64.5,33.33,['rain'],0.0,0.0,14.0,10.1,287.3,1006.6,99.9,15.3,78.6,6.8,3.0,10.0,05:31:30,1733783490,17:59:47,1733828387,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-11,1733850000,26.7,24.2,25.3,26.7,24.2,25.3,22.6,85.1,12.5,80.6,29.17,['rain'],0.0,0.0,37.4,19.4,238.9,1006.1,100.0,19.5,42.5,3.8,1.0,10.0,05:31:55,1733869915,18:00:17,1733914817,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-12,1733936400,27.8,25.2,26.1,30.6,25.2,26.9,22.6,81.0,3.8,64.5,29.17,['rain'],0.0,0.0,43.6,24.8,237.3,1005.8,100.0,22.0,71.5,6.0,3.0,10.0,05:32:20,1733956340,18:00:48,1734001248,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-13,1734022800,26.5,24.0,25.1,26.5,24.0,25.1,22.8,87.6,38.4,64.5,29.17,['rain'],0.0,0.0,41.0,20.9,238.6,1006.1,100.0,15.8,63.5,5.6,2.0,10.0,05:32:46,1734042766,18:01:18,1734087678,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-14,1734109200,27.1,24.3,25.2,29.6,24.3,25.3,22.5,85.2,4.5,64.5,25.0,['rain'],0.0,0.0,45.0,25.2,257.9,1006.1,98.6,20.2,98.6,8.4,6.0,10.0,05:33:13,1734129193,18:01:49,1734174109,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-15,1734195600,26.4,23.9,24.9,26.4,23.9,24.9,22.9,88.7,16.7,64.5,33.33,['rain'],0.0,0.0,35.3,19.1,260.0,1006.5,98.8,20.9,64.3,5.7,4.0,10.0,05:33:40,1734215620,18:02:19,1734260539,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-16,1734282000,27.0,24.3,25.4,29.6,24.3,25.6,22.9,85.8,7.4,87.1,33.33,['rain'],0.0,0.0,41.8,20.5,259.9,1006.8,98.3,20.3,107.1,9.2,5.0,10.0,05:34:07,1734302047,18:02:49,1734346969,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-17,1734368400,28.9,24.6,26.4,32.3,24.6,27.5,23.0,81.7,8.7,67.7,33.33,['rain'],0.0,0.0,34.2,20.5,257.7,1006.8,100.0,20.2,136.0,11.7,5.0,10.0,05:34:35,1734388475,18:03:20,1734433400,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,fcst
2024-12-03,1733158800,27.3,25.0,26.2,29.7,25.0,26.9,22.4,79.6,9.1,87.1,54.17,['rain'],0.0,0.0,47.2,26.6,235.7,1008.6,100.0,21.1,47.4,3.4,2.0,10.0,05:28:55,1733178535,17:56:22,1733223382,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
2024-12-04,1733245200,27.8,24.7,26.1,30.6,24.7,27.0,22.6,81.3,10.3,83.9,62.5,['rain'],0.0,0.0,38.5,19.4,238.2,1007.9,99.9,20.6,39.6,3.3,2.0,10.0,05:29:15,1733264955,17:56:51,1733309811,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,,fcst
